,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,latitude,longitude,onmousedown,snippet,source,sponsored,state,stations,url
772,San Francisco,Demandbase,US,"Fri, 03 Feb 2017 06:53:32 GMT",False,"San Francisco, CA","San Francisco, CA",25 days ago,True,17f1869b81cfcc73,Senior Data Scientist,37.774727,-122.41758,"indeed_clk(this,'5388');","PhD in Computer Science, Math, <b>Statistics</b> Computational Mathematics. What do industry leaders like Adobe, American Express, Box, Dell, Salesforce.com and SAP...",DemandBase,False,CA,,http://www.indeed.com/viewjob?jk=17f1869b81cfcc73&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qquh1bqu7m3
773,San Diego,UC San Diego,US,"Tue, 21 Feb 2017 11:27:06 GMT",False,"San Diego, CA","San Diego, CA",7 days ago,False,5e4be2915d666c28,Bioinformatics Programmer,32.714287,-117.15385,"indeed_clk(this,'5388');","A Bachelor's Degree in Bioinformatics, Computer Science, Mathematics, <b>Statistics</b>, Biology, Physical Sciences, or other relevant scientific discipline, and 4+...",UC San Diego,False,CA,,http://www.indeed.com/viewjob?jk=5e4be2915d666c28&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qquh1bqu7m3
774,Monrovia,Public Health Institute,US,"Thu, 19 Jan 2017 02:49:39 GMT",False,"Monrovia, CA","Monrovia, CA 91016",30+ days ago,False,7f68fbbe1568bb7d,Research Associate II,34.140182,-117.99725,"indeed_clk(this,'5388');",They serve as the primary study liaison between the <b>Statistics</b> and Data Center at COG and the multiple external and internal entities involved with the study....,Public Health Institute,False,CA,,http://www.indeed.com/viewjob?jk=7f68fbbe1568bb7d&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qquh1bqu7m3
775,Los Angeles,City National Bank,US,"Wed, 15 Feb 2017 11:12:38 GMT",False,"Los Angeles, CA","Los Angeles, CA",13 days ago,False,88cb67186ec2eb76,Senior Quantitative Analyst CCAR,34.052197,-118.24176,"indeed_clk(this,'5656');","Advanced degree in risk, finance, mathematics or <b>statistics</b> or related discipline (Ph.D, MBA, etc.). Minimum 5 years of experience in a quantitative analysis...",City National Bank,False,CA,,http://www.indeed.com/viewjob?jk=88cb67186ec2eb76&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
776,Sacramento,UC DAVIS HEALTH SYSTEM,US,"Mon, 27 Feb 2017 16:38:46 GMT",False,"Sacramento, CA","Sacramento, CA",1 day ago,False,2a2b97a3937ddfe0,Physicist -Entry Level Medical,38.57967,-121.48901,"indeed_clk(this,'5656');","-Expert knowledge of medical physics instrument theory, operation and counting <b>statistics</b>. The Medical Physicist (EH&amp;S Specialist III) is the technical lead and...",UC DAVIS HEALTH SYSTEM,False,CA,,http://www.indeed.com/viewjob?jk=2a2b97a3937ddfe0&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
777,El Segundo,General Dynamics Information Technology,US,"Sat, 18 Feb 2017 22:33:26 GMT",False,"El Segundo, CA","El Segundo, CA",10 days ago,False,2e122a8cedef3d09,Senior Program Control Analyst - TS/SCI required,33.917583,-118.41209,"indeed_clk(this,'5656');",Uses quantitative analytical techniques to assess system acquisition process issues and develop risk reduction/mitigation approaches for improving acquisition...,General Dynamics Information Technology,False,CA,,http://www.indeed.com/viewjob?jk=2e122a8cedef3d09&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
778,,Los Angeles County Human Resources,US,"Fri, 24 Feb 2017 02:23:18 GMT",False,"Los Angeles County, CA","Los Angeles County, CA",5 days ago,False,a3dffdd65203b48e,ADMINISTRATIVE DEPUTY I,34.365383,-118.1978,"indeed_clk(this,'5656');","Oversees the collection, analysis, and maintenance of production and performance <b>statistics</b> for the department....",Los Angeles County Human Resources,False,CA,,http://www.indeed.com/viewjob?jk=a3dffdd65203b48e&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
779,Los Angeles,Riot Games,US,"Mon, 16 Jan 2017 12:13:34 GMT",False,"Los Angeles, CA","Los Angeles, CA",30+ days ago,False,aab4910d17076eef,Esports Analyst (Technical),34.052197,-118.24176,"indeed_clk(this,'5656');","Numbers are your weapon of choice, and you count <b>statistics</b>, probability, and algebra among your favorite tools of our trade;...",Riot Games,False,CA,,http://www.indeed.com/viewjob?jk=aab4910d17076eef&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
780,San Francisco,Accenture,US,"Tue, 06 Dec 2016 00:55:33 GMT",False,"San Francisco, CA","San Francisco, CA 94105",30+ days ago,False,8a3a1b91da5fcc8f,Oracle Financials Analyst - San Francisco,37.788864,-122.39936,"indeed_clk(this,'5656');","Engineering (all disciplines), Computer Science / Computer Engineering, Information Systems / Decision Sciences, Mathematics / <b>Statistics</b> / Sciences....",Accenture,False,CA,,http://www.indeed.com/viewjob?jk=8a3a1b91da5fcc8f&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
781,San Francisco,Accenture,US,"Tue, 06 Dec 2016 00:55:32 GMT",False,"San Francisco, CA","San Francisco, CA 94105",30+ days ago,False,eb82e3a37e7d39fd,Oracle Fusion Middleware Analyst - San Francisco,37.788864,-122.39936,"indeed_clk(this,'5656');","Engineering (all disciplines), Computer Science / Computer Engineering, Information Systems / Decision Sciences, Mathematics / <b>Statistics</b> / Sciences....",Accenture,False,CA,,http://www.indeed.com/viewjob?jk=eb82e3a37e7d39fd&qd=N2J-naHqk5bSExrJs-uSyE9gn74e7xt4hqt3GcgUJS95Lx2cjIZaxNo_Isb2Ct9VnRxfzpKLiqmXL2uVu1Yn_vjXYhlwNfOTL9kP6qJfsKo&indpubnum=254802918413674&atk=1ba47qr6ra4l1fle
